id,name,matchedName,resultType,confidence,similarity,lat,lng,address,status
r78,Bagel Bar & Coffee,Coffee Road,street,0,0.5,32.425935,-96.699411,"Coffee Road, Ellis County, TX 75152, United States of America",review
r84,Black Tap Craft Burgers & Beer - Dallas,Jakes Burgers and Beer,amenity,0,0.5,32.951672,-96.838347,"Jakes Burgers and Beer, 14920 Midway Road, Dallas, TX 75001, United States of America",review
r85,Rayhan Coffee House,Weekend Coffee,amenity,0,0.5,32.7802132,-96.798229,"Weekend Coffee, 1530 Main Street, Dallas, TX 75226, United States of America",review
r97,Beeso Coffee at Firewheel,Alta Firewheel,amenity,0,0.5,32.952262,-96.606806,"Alta Firewheel, 3422 Firewheel Parkway, Garland, TX 75040, United States of America",review
r98,Balqees Coffee,Weekend Coffee,amenity,0,0.5,32.7802132,-96.798229,"Weekend Coffee, 1530 Main Street, Dallas, TX 75226, United States of America",review
r99,Karachi Food Company,Food Mart,amenity,0,0.5,32.888025,-96.770515,"Food Mart, 10405 North Central Expressway, Dallas, TX 75230, United States of America",review
r100,Zaika Eats,Too Thai Street Eats,amenity,0,0.5,32.9820574,-96.9078826,"Too Thai Street Eats, 2540 Old Denton Road, Carrollton, TX 75006, United States of America",review
r103,Alvi's Kitchen & Catering,Lyzette's Catering,amenity,0,0.667,32.7587682,-97.250096,"Lyzette's Catering, 4817 Brentwood Stair Road, Fort Worth, TX 76103, United States of America",review
r104,246 Thai Grab and Go,Grab and Fly,amenity,0,0.667,32.900879,-97.041835,"Grab and Fly, Grapevine, TX 75261, United States of America",review
r107,Special Halal Food,Halal Albaraka International Food Store,amenity,0,0.667,32.8417493,-97.0821932,"Halal Albaraka International Food Store, 406 North Main Street, Euless, TX 76039, United States of America",review
r111,TX NY Famous Halal Gyro,Farmersville (TX),amenity,0,0.5,33.1611952,-96.4082594,"Farmersville (TX), Collin County, TX, United States of America",review
r112,Sabar BBQ,Crossbuck BBQ,amenity,0,0.5,32.9393005,-96.8337371,"Crossbuck BBQ, 4400 Spring Valley Road, Farmers Branch, TX 75240, United States of America",review
r116,Habibi Barbecue,Habibi Cutz Barbershop,amenity,0,0.5,32.9753574,-96.6983094,"Habibi Cutz Barbershop, East Campbell Road, Richardson, TX 75081, United States of America",review
r117,Naya AL Hashem Mediterranean Restaurant,Boren Alley,street,0,0,32.768429,-96.786241,"Boren Alley, Dallas, TX 75215, United States of America",review
r118,Shinwari Kitchen (HALAL),Snap Kitchen,amenity,0,0.5,32.8362051,-96.7618006,"Snap Kitchen, 4115 Skillman Street, Dallas, TX 75206, United States of America",review
r119,Taco King,Velvet Taco,amenity,0,0.5,32.7839026,-96.7867612,"Velvet Taco, 2556 Elm Street, Dallas, TX 75226, United States of America",review
r120,The Taco King (Food Truck),Christ the King,amenity,0,0.667,32.779354,-97.295092,"Christ the King, Fort Worth, TX 76111, United States of America",review
r122,Bread Street Boys Pizza and Wholesale Bakery,Chicago Pizza,amenity,0,0.5,32.7690173,-97.0963316,"Chicago Pizza, 2141 North Collins Street, Arlington, TX 76011, United States of America",review
r131,FIRIN Bakery & Pizzeria,Brooklyn Pizzeria,amenity,0,0.5,32.996977,-96.8312678,"Brooklyn Pizzeria, 4520 Frankford Road, Dallas, TX 75287, United States of America",review
r135,Chai Stop,RedCoach Bus Stop,amenity,0,0.5,32.7752961,-96.8019408,"RedCoach Bus Stop, South Griffin Street, Dallas, TX 75202, United States of America",review
r136,Pizza Loves Sauce,Love's Travel Stop,amenity,0,0,32.6408254,-96.8387309,"Love's Travel Stop, Beckleymeade Avenue, Dallas, TX 75232, United States of America",review
r137,Kozies Pot Pies,Rice Pot,amenity,0,0.5,32.6513929,-96.9081992,"Rice Pot, 100 South Main Street, Duncanville, TX 75116, United States of America",review
r138,Chef Sun’s Noodle and Dumpling McKinney,King Ramen & Dumpling,amenity,0,0.333,32.9992598,-96.9628229,"King Ramen & Dumpling, East State Highway 121, Lewisville, TX 75019, United States of America",review
r139,KRUSH Burgers & Rotisserie,Haystack Burgers & Barley,amenity,0,0.333,32.8371417,-96.7512379,"Haystack Burgers & Barley, 6465 East Mockingbird Lane, Dallas, TX 75214, United States of America",review
r140,Golden Shawarma,Golden Chick,amenity,0,0.5,32.7199828,-96.8596227,"Golden Chick, 2510 West Illinois Avenue, Dallas, TX 75233, United States of America",review
r143,Narah Cafe & Restaurant,Terrace Restaurant,amenity,0,0.5,32.821125,-96.718683,"Terrace Restaurant, Dallas, TX 75218, United States of America",review
r144,Shawarma Alreem,Shawarma Press,amenity,0,0.5,32.7872417,-96.798571,"Shawarma Press, Ross Avenue, Dallas, TX 75201, United States of America",review
r145,Original Shawarma,Shawarma Press,amenity,0,0.5,32.7872417,-96.798571,"Shawarma Press, Ross Avenue, Dallas, TX 75201, United States of America",review
r151,ALBARAKA BBQ GRILL مطعم و مشويات البركه,Crossbuck BBQ,amenity,0,0.5,32.9393005,-96.8337371,"Crossbuck BBQ, 4400 Spring Valley Road, Farmers Branch, TX 75240, United States of America",review
r152,Zaiqa House (HMS zabiha Halal),Sapa House,amenity,0,0.5,32.7814205,-96.7973562,"Sapa House, 1623 Main Street, Dallas, TX 75201, United States of America",review
r153,Noorsha Express,Italia Express,amenity,0,0.5,32.8111287,-96.8111301,"Italia Express, 4000 Cedar Springs Road, Dallas, TX 75219, United States of America",review
r157,Namak Indian Cuisine,Namak,amenity,0,1,32.853307,-96.768516,"Namak, Dallas, TX 75026, United States of America",review
r159,Crescent Coffee House,Weekend Coffee,amenity,0,0.5,32.7802132,-96.798229,"Weekend Coffee, 1530 Main Street, Dallas, TX 75226, United States of America",review
r162,The Burger Life,The Burger House,amenity,0,0.667,32.9212756,-96.6274953,"The Burger House, 1016 Lavon Drive, Garland, TX 75040, United States of America",review
r164,Gravity Dallas Grill & Lounge,Twilite Lounge,amenity,0,0.5,32.7842328,-96.7849352,"Twilite Lounge, 2640 Elm Street, Dallas, TX 75226, United States of America",review
